"cohort_start_date","dose","vaccination_campaign","n_dose_day"
2024-04-24,7,"s_2024",826
2024-04-24,8,"s_2024",3249
2024-04-24,9,"s_2024",97
2024-04-24,10,"s_2024",5
2024-04-25,4,"s_2024",9
2024-04-25,5,"s_2024",44
2024-04-25,6,"s_2024",580
2024-04-25,7,"s_2024",1136
2024-04-25,8,"s_2024",3753
2024-04-25,9,"s_2024",88
2024-04-26,3,"s_2024",5
2024-04-26,4,"s_2024",12
2024-04-26,5,"s_2024",38
2024-04-26,6,"s_2024",571
2024-04-26,7,"s_2024",894
2024-04-26,8,"s_2024",2904
2024-04-26,9,"s_2024",73
2024-04-27,3,"s_2024",5
2024-04-27,4,"s_2024",13
2024-04-27,5,"s_2024",28
2024-04-27,6,"s_2024",472
2024-04-27,7,"s_2024",721
2024-04-27,8,"s_2024",2699
2024-04-27,9,"s_2024",112
2024-04-28,3,"s_2024",5
2024-04-28,4,"s_2024",5
2024-04-28,5,"s_2024",13
2024-04-28,6,"s_2024",117
2024-04-28,7,"s_2024",159
2024-04-28,8,"s_2024",981
2024-04-28,9,"s_2024",20
2024-04-29,3,"s_2024",5
2024-04-29,4,"s_2024",10
2024-04-29,5,"s_2024",32
2024-04-29,6,"s_2024",409
2024-04-29,7,"s_2024",705
2024-04-29,8,"s_2024",2650
2024-04-29,9,"s_2024",67
2024-04-30,3,"s_2024",5
2024-04-30,4,"s_2024",8
